source_row,reynolds_number,source_nusselt_number,perturbation_factor,nusselt_number
68,800843.05259915895,1500.4101831337,1.0231391127762888,1535.1283435719229
69,813071.84609115205,1550.7936977984,0.95463508178083789,1480.4420685229836
70,823702.185274394,1608.76212207349,1.0025972697898069,1612.940511332137
71,832666.89289636398,1681.19154907349,1.0364545281088768,1742.4785936555957
72,843553.42345414695,1731.2805188764701,1.0064491455378706,1742.4457989095845
73,856434.40004675905,1763.3411587390499,1.0569700342271651,1863.7987649065824
74,867631.67394630401,1835.9799327493299,0.93825870898231734,1722.6241614188282
75,880880.32302101003,1876.8545303884,1.0201170820588774,1914.6113669887993
76,900158.66663350898,1925.6931096400101,0.96575949545298434,1859.7564059632246
77,921852.50745409401,1961.35397025784,0.95646014254090594,1875.9568979659855
78,946115.22502036195,2019.7900240456099,0.9710575167617792,1961.3322851299442
79,973120.98274605803,2057.1934141103102,0.98442237339363137,2025.147223248219
80,1003066.80580707,2110.7246824980298,1.0028082671114873,2116.6521612052934
81,1036174.96742894,2149.81204191598,0.94174250796083214,2024.5693839983526
82,1061146.8036606,2197.6735139536099,1.0450413243477095,2296.6596395059651
83,1091436.00389035,2246.6005305416202,1.023283121986523,2298.9084047492083
84,1125022.7315783,2305.06045712681,0.92318781568613884,2128.0037284393925
85,1162156.28460761,2365.0415989747398,1.0744126096897799,2541.03051637934
86,1200515.50243629,2426.5835403957399,1.0947944588015293,2656.6102138442529
87,1240140.84050363,2498.88051913458,1.0589389785579826,2646.1619844708134
88,1281074.08955901,2563.9051506646601,0.99100375820938247,2540.8396400010711
89,1329100.7912045701,2650.0006425571401,0.94646236892447289,2508.125885806006
90,1372970.3356379101,2728.95405047551,1.0527225863465568,2872.831566037491
91,1418287.8793061699,2789.7090166921898,0.97984115265134097,2733.4716984775141
92,1455616.53867957,2872.8248584136099,1.0611222535191214,3048.4183877256005
93,1516739.7969738599,2958.41703121606,1.0104137489038429,2989.2252433319964
94,1570198.41785985,3035.3994943206899,1.0488319518241858,3183.6239761945158
95,1625541.22755181,3114.3851569618,1.0178183198587201,3169.8782678517955
96,1690136.8611834401,3218.9656723376402,1.0353286584095973,3332.6874110078766
97,1745923.0999854801,3290.6298143709,1.0005250010360409,3292.3573984326717
98,1811376.71309224,3401.1285948858099,1.0892935246952917,3704.8273550651088
99,1859051.2827663501,3476.8482475655101,1.0063456046351811,3498.9109519210829
100,1912115.7375117601,3541.2341043383799,1.0200994681722351,3612.4110265089625
101,1970957.2182350699,3633.3823447336899,1.0941575348528128,3975.4926694915471
102,2031609.4260947099,3727.9284210126898,0.93261204694287769,3476.7109555771744
